Nº,Project,MethodName,#Assrtions,#Conditions,#TryCatch,#Loop,#Throws,#Statements,#Tokens,#Hamcrest,#Mockito,#BadApi,#LOC,#Expressions,#Depth,#Vocabulary,#Understandability,#BodySize,#Dexterity,#NonWhiteCharacters
198,avro-release-1.8.2,TestSpecificCompilerTool.testCompileSchemaTwoFiles,0,0,0,0,1,3,53,0,0,0,10,33,9,14,243,36,6,340
199,avro-release-1.8.2,TestAvroMultipleOutputsSyncable.testAvroGenericOutput,21,0,0,5,1,62,1124,0,0,0,207,630,11,68,6622,806,15,4188
200,avro-release-1.8.2,TestAvroKeyRecordReader.testReadRecords,15,0,0,0,2,37,437,0,2,2,115,250,10,60,2404,331,11,2301
201,avro-release-1.8.2,TestRpcProtocolTool.testRpcProtocol,1,0,0,0,1,6,88,0,0,0,19,53,9,24,375,65,8,437
202,avro-release-1.8.2,TestReflect.testAnnotationAvroMeta,0,0,0,0,1,1,15,0,0,0,3,12,7,5,74,11,6,246
203,avro-release-1.8.2,TestSaslDigestMd5.testWrongPassword,1,0,0,0,1,11,169,0,0,0,34,96,9,44,797,127,8,778
204,avro-release-1.8.2,TestSchemaBuilder.testNamesFailRedefined,0,0,0,0,0,1,68,0,0,0,3,43,17,14,438,39,6,270
205,avro-release-1.8.2,TestSpecificCompiler.testJavaTypeWithDecimalLogicalTypeEnabled,5,0,0,0,1,12,214,0,0,0,37,134,9,29,950,155,8,1178
206,avro-release-1.8.2,TestGenericData.testGetEmptySchemaField,0,0,0,0,1,2,25,0,0,0,7,20,6,9,132,18,8,184
207,avro-release-1.8.2,TestWordCount.testAvroMapOutput,5,0,0,1,1,23,342,0,0,0,74,190,10,62,1593,252,12,1403
208,avro-release-1.8.2,TestStopwatch.testTwiceStopped,0,0,0,0,0,5,37,0,0,0,16,24,7,10,160,30,8,154
209,avro-release-1.8.2,TestSpecificCompiler.testManglingForRecords,4,0,0,0,1,7,84,0,0,0,22,51,8,20,340,62,9,413
210,avro-release-1.8.2,TestAvroKeyRecordWriter.testSycnableWrite,5,0,0,0,1,24,273,0,1,0,73,150,10,48,1358,219,9,1234
211,avro-release-1.8.2,TestReflect.testNoPackageSchema,0,0,0,0,1,1,18,0,0,0,3,13,6,8,74,11,6,109
212,avro-release-1.8.2,TestJsonToFromBinaryFragmentTools.testMultiBinaryToJson,0,0,0,0,1,1,19,0,0,0,3,15,6,7,88,13,6,113
213,avro-release-1.8.2,TestProtocolGeneric.testResponseChange,1,0,1,1,1,12,398,0,0,0,75,217,10,53,2101,291,13,1319
214,avro-release-1.8.2,TestWordCount.testAvroReflectOutput,5,0,0,1,1,22,327,0,0,0,71,179,10,62,1515,241,12,1357
215,avro-release-1.8.2,TestJsonDecoder.testInt,0,0,0,0,1,1,9,0,0,0,3,8,5,4,45,6,6,63
216,avro-release-1.8.2,TestWordCount.testAvroSpecificOutput,5,0,0,1,1,22,329,0,0,0,71,181,10,62,1526,243,12,1346
217,avro-release-1.8.2,TestSpecificData.testSpecificRecordBase,2,0,0,0,0,5,53,0,0,0,16,31,7,7,195,38,8,187
218,avro-release-1.8.2,TestIOBuffers.testSkipString,1,0,0,0,1,7,74,0,0,0,22,45,8,20,309,58,8,314
219,avro-release-1.8.2,TestProtocolSpecific.testConnectionRefusedOneWay,0,0,0,0,1,5,56,0,0,0,16,37,8,16,281,48,8,330
220,avro-release-1.8.2,TestAvroKeyOutputFormat.testWithNullCodec,0,0,0,0,1,3,32,0,0,0,10,20,7,11,126,23,8,210
221,avro-release-1.8.2,TestCaseFinder.testUnterminatedHeredoc,0,0,0,0,1,2,34,0,0,0,7,25,9,14,216,28,9,183
222,avro-release-1.8.2,TestGenericDatumWriter.testMapConcurrentModification,2,0,1,0,1,14,216,0,0,0,60,110,12,45,1169,188,10,973
223,avro-release-1.8.2,TestAvroKeyValueRecordWriter.testSyncableWriteRecords,9,0,0,0,1,38,496,0,1,0,115,266,10,69,2776,408,12,2199
224,avro-release-1.8.2,TestValidatingIO.testMain,0,0,0,1,1,1,39,0,0,0,7,24,11,13,189,27,8,128
225,avro-release-1.8.2,TestProtocolReflect.testUndeclaredError,2,0,1,0,1,5,61,0,0,0,25,36,8,12,266,49,13,271
226,avro-release-1.8.2,TestJsonToFromBinaryFragmentTools.testMultiJsonToBinary,0,0,0,0,1,1,19,0,0,0,3,15,6,7,88,13,6,113
227,avro-release-1.8.2,TestNettyServerWithCallbacks.error,0,0,1,0,2,3,27,0,0,0,16,14,7,8,96,16,9,156
228,avro-release-1.8.2,TestGenericData.testHashCode,0,0,0,0,0,8,122,0,0,0,25,72,9,25,517,90,9,410
229,avro-release-1.8.2,TestRecodecTool.testRecodec,2,0,0,1,1,29,461,0,0,0,92,248,11,43,2155,330,13,2068
230,avro-release-1.8.2,TestShredder.testMap,0,0,0,0,1,3,86,0,0,0,10,55,8,17,396,63,8,365
231,avro-release-1.8.2,TestBinaryMessageEncoding.testCompatibleReadFailsWithoutSchema,0,0,0,0,1,4,66,0,0,0,13,40,8,20,321,54,9,383
232,avro-release-1.8.2,TestReflect.testDouble,0,0,0,0,0,2,20,0,0,0,7,14,7,5,80,15,6,94
233,avro-release-1.8.2,TestTimeConversions.testTimestampMillisConversion,3,0,0,0,1,9,150,0,0,0,28,81,8,22,631,103,8,925
234,avro-release-1.8.2,TestIOBuffers.testBoolean,1,0,0,2,1,6,107,0,0,0,27,64,8,22,446,82,11,385
235,avro-release-1.8.2,TestBinaryMessageEncoding.testByteBufferRoundTrip,2,0,0,0,1,5,96,0,0,1,16,55,8,20,422,73,9,459
236,avro-release-1.8.2,TestStatsPluginAndServlet.testMultipleRPCs,3,0,0,0,1,15,132,0,0,0,46,83,7,22,593,107,9,643
237,avro-release-1.8.2,TestBulkData.testRead,1,0,0,1,1,1,33,0,0,0,7,21,8,11,136,22,8,118
238,avro-release-1.8.2,TestJsonToFromBinaryFragmentTools.testBinaryToNoPrettyJson,0,0,0,0,1,1,13,0,0,0,3,10,5,7,60,8,6,110
239,avro-release-1.8.2,TestSpecificRecordBuilder.testBuilderPerformanceWithDefaultValues,0,0,0,1,0,6,112,0,0,0,23,67,11,18,516,81,10,474
240,avro-release-1.8.2,TestSchemaCompatibility.testValidateArrayWriterSchema,2,0,0,0,1,6,119,0,0,0,19,77,8,23,566,94,9,975
241,avro-release-1.8.2,TestCatTool.testSamplerateAccuracy,3,0,0,0,1,10,177,0,0,0,31,109,10,37,834,136,9,766
242,avro-release-1.8.2,TestGenericLogicalTypes.testCopyDecimalRaw,0,0,0,0,0,1,53,0,0,0,3,33,10,17,228,33,6,208
243,avro-release-1.8.2,TestGenericData.testToStringIsJson,0,0,0,0,2,12,180,0,0,0,37,105,8,35,812,135,8,720
244,avro-release-1.8.2,TestSchema.testEnumWithPrimitiveName,0,0,0,0,0,1,9,0,0,0,3,10,6,6,56,6,6,152
245,avro-release-1.8.2,TestShredder.testUnion,0,0,0,0,1,2,77,0,0,0,7,49,8,15,354,54,8,300
246,avro-release-1.8.2,TestConcatTool.testDifferentMetadataFail,1,0,0,0,1,11,167,0,0,0,34,94,8,33,769,133,9,689
247,avro-release-1.8.2,TestReflect.testMultipleAnnotations,11,0,0,0,1,29,331,0,0,11,88,230,9,40,1885,287,13,1224
248,avro-release-1.8.2,TestBinaryMessageEncoding.testBufferCopy,2,0,0,0,1,6,112,0,0,0,19,63,8,23,472,84,9,472
249,avro-release-1.8.2,TestLogicalType.testDecimalWithNonByteArrayTypes,0,0,0,1,0,3,256,0,0,0,21,157,13,35,1575,183,11,940
250,avro-release-1.8.2,TestAvroCharSequenceComparator.testCompareUtf8,11,0,0,0,0,11,268,8,0,0,34,151,8,9,1106,182,6,817
251,avro-release-1.8.2,TestSpecificToFromByteArray.testSpecificToFromByteBufferWithoutLogicalTypes,1,0,0,0,1,4,141,0,0,0,13,82,10,30,703,95,8,664
252,avro-release-1.8.2,TestAvroCharSequenceComparator.testCompareUtf8ToString,11,0,0,0,0,11,224,8,0,0,34,129,8,9,886,149,6,726
253,avro-release-1.8.2,TestGenericData.testToStringFixed,1,0,0,0,1,2,52,0,0,0,7,31,9,11,258,36,8,212
254,avro-release-1.8.2,TestDataFileSpecific.testSpecificDatumReaderDefaultCtor,2,0,0,2,1,9,177,0,0,0,46,96,10,26,833,139,14,685
255,avro-release-1.8.2,TestDataFile.test12,0,0,0,0,1,1,19,0,0,0,3,12,8,7,94,14,6,132
256,avro-release-1.8.2,TestSpecificData.testPrimitiveParam,1,0,0,0,1,1,16,0,0,0,3,12,8,7,78,11,6,116
257,avro-release-1.8.2,TestReflect.testStringables,0,0,0,0,1,5,67,0,0,0,16,49,9,13,362,56,7,336
258,avro-release-1.8.2,TestSchema.testRecursive,0,0,0,0,1,1,15,0,0,0,3,12,6,4,71,10,6,238
259,avro-release-1.8.2,TestSequenceFileReader.testReadSequenceFile,0,0,0,0,1,1,16,0,0,0,3,11,8,8,92,13,6,112
260,avro-release-1.8.2,TestSchemaCompatibility.testReaderWriterCompatibility,1,0,0,1,0,1,77,0,0,0,20,42,8,21,406,58,11,565
261,avro-release-1.8.2,TestSchemaValidation.testUnionWithCompatibleElements,0,0,0,0,1,3,49,0,0,0,10,31,7,15,201,35,8,261
262,avro-release-1.8.2,TestReflect.testAvroEncodeInducing,1,0,0,0,1,2,33,0,0,0,7,22,8,11,141,24,8,364
263,avro-release-1.8.2,TestSchemaBuilder.testDuble,1,0,0,0,0,5,69,0,0,0,16,43,9,18,292,54,9,267
264,avro-release-1.8.2,TestFingerprint.testCanonicalization,1,0,0,0,1,4,49,0,0,0,13,31,7,17,197,36,8,271
265,avro-release-1.8.2,TestSeekableByteArrayInput.testSerialization,3,1,1,0,1,12,154,0,0,0,51,83,9,31,711,127,15,663
266,avro-release-1.8.2,TestReflect.testVoid,0,0,0,0,0,2,20,0,0,0,7,14,7,5,80,15,6,84
267,avro-release-1.8.2,TestHistogram.testBadValue,0,0,0,0,0,3,70,0,0,0,10,43,9,15,409,59,9,253
268,avro-release-1.8.2,TestSpecificCompiler.testMaxParameterCounts,4,0,0,0,1,8,132,0,0,0,25,86,10,14,626,103,8,702
269,avro-release-1.8.2,TestProtobuf.testNestedEnum,1,0,0,0,1,2,36,0,0,0,7,23,8,13,154,26,8,155
270,avro-release-1.8.2,TestReflect.testUnionWithMap,1,0,0,0,0,3,48,0,0,0,10,28,9,15,223,38,8,220
271,avro-release-1.8.2,TestLogicalType.testDecimalFixedPrecisionLimit,1,0,0,0,0,3,76,0,0,0,17,41,12,18,391,55,8,438
272,avro-release-1.8.2,TestSchema.testDocs,7,0,0,0,0,8,127,0,0,0,25,73,8,10,480,81,9,659
273,avro-release-1.8.2,TestReflect.testArray,0,0,0,0,1,1,20,0,0,0,3,14,9,7,92,13,6,190
274,avro-release-1.8.2,TestSchema.testMap,0,0,0,0,1,4,47,0,0,0,13,27,8,10,211,38,9,214
275,avro-release-1.8.2,TestSchemaBuilder.testInt,1,0,0,0,0,5,69,0,0,0,16,43,9,18,292,54,9,253
276,avro-release-1.8.2,TestIdlToSchemataTool.testSplitIdlIntoSchemata,1,0,0,0,1,6,67,0,0,0,19,39,8,17,296,56,11,293
277,avro-release-1.8.2,TestProtocolGeneric.testHello,1,0,0,0,1,4,65,0,0,0,13,40,9,17,289,49,8,270
278,avro-release-1.8.2,TestHistogram.testFloatHistogram,3,0,0,0,0,7,78,0,0,0,22,43,8,11,293,56,9,271
279,avro-release-1.8.2,TestSpecificCompiler.testPrivateFieldVisibility,6,0,0,1,1,11,149,0,0,0,44,93,8,28,652,113,13,742
280,avro-release-1.8.2,TestSpecificData.testSpecificRecordToString,0,0,0,0,1,6,98,0,0,0,19,59,12,27,485,74,8,420
281,avro-release-1.8.2,TestAvroKeyValueRecordReader.testReadRecords,17,0,0,0,2,43,577,0,2,2,133,328,10,70,3263,436,11,2837
282,avro-release-1.8.2,TestLogicalType.testDecimalFailsWithZeroPrecision,1,0,0,0,0,3,76,0,0,0,17,41,12,18,391,55,8,448
283,avro-release-1.8.2,TestSchema.testNames_GetNotFound,1,0,0,0,0,3,49,0,0,0,10,33,8,12,214,38,9,187
284,avro-release-1.8.2,TestReflectLogicalTypes.testWriteNullableUUIDReadRequiredString,1,0,0,0,1,14,221,0,0,0,43,130,12,41,1008,165,12,917
285,avro-release-1.8.2,TestBinaryDecoder.testDoubleTooShort,0,0,0,0,1,3,34,0,0,0,10,21,7,10,161,26,8,168
286,avro-release-1.8.2,TestTetherTool.test,2,1,1,1,1,30,459,0,0,0,113,261,10,67,2491,374,21,1742
287,avro-release-1.8.2,TestIOBuffers.testSkipFloat,1,0,0,0,1,7,76,0,0,0,22,47,8,21,320,60,8,318
288,avro-release-1.8.2,TestAvroKeyOutputFormat.testWithBZip2Code,0,0,0,0,1,4,47,0,0,0,13,31,7,15,189,35,8,295
289,avro-release-1.8.2,TestEncoders.testJsonEncoderInit,0,0,0,0,1,5,60,0,0,0,16,37,9,18,263,47,8,274
290,avro-release-1.8.2,TestReflectLogicalTypes.testReadUUID,2,0,0,0,1,16,269,0,0,0,49,157,12,41,1201,195,12,1085
291,avro-release-1.8.2,TestAvroSerialization.testGetDeserializerForValue,2,0,0,0,1,8,96,0,0,0,25,60,8,28,438,82,9,596
292,avro-release-1.8.2,TestColumnFile.testEmptyFile,2,0,0,0,1,7,67,0,0,0,22,39,7,16,254,49,8,276
293,avro-release-1.8.2,TestTimeConversions.testDateConversion,6,0,0,0,1,10,204,0,0,0,31,112,8,16,828,134,8,882
294,avro-release-1.8.2,TestJsonDecoder.testDouble,0,0,0,0,1,1,9,0,0,0,3,8,5,4,45,6,6,71
295,avro-release-1.8.2,TestDataFileCorruption.testCorruptedFile,7,0,1,0,1,33,397,0,0,0,110,210,10,50,2029,302,11,1378
296,avro-release-1.8.2,TestJsonToFromBinaryFragmentTools.testJsonToBinarySchemaFile,0,0,0,0,1,1,15,0,0,0,3,11,6,7,65,9,6,113
297,avro-release-1.8.2,TestConcatTool.testDifferentSchemasFail,1,0,0,0,1,9,140,0,0,0,28,81,8,33,628,109,9,574
298,avro-release-1.8.2,TestSchema.testSchemaExplosion,2,0,0,4,1,1,180,0,0,0,49,96,13,24,1131,140,14,484
299,avro-release-1.8.2,TestSchema.testSplitSchemaBuild,3,0,0,0,0,8,173,0,0,0,25,103,19,31,960,122,8,690
300,avro-release-1.8.2,TestSpecificCompiler.testMakePath,2,0,0,0,0,3,47,0,0,0,10,29,7,9,184,33,8,227
301,avro-release-1.8.2,TestReflect.testRecord,0,0,0,0,1,1,17,0,0,0,3,13,7,5,82,12,6,244
302,avro-release-1.8.2,TestSpecificCompiler.testManglingForProtocols,5,0,0,0,1,11,117,0,0,0,34,71,8,23,508,94,9,694
303,avro-release-1.8.2,TestDataFileTools.testDifferentSeparatorsBetweenJsonRecords,1,0,0,0,1,2,24,0,0,0,7,17,6,8,105,18,8,212
304,avro-release-1.8.2,TestColumnFile.testTwoColumn,5,0,0,2,1,14,224,0,0,0,57,125,8,35,946,163,14,766
305,avro-release-1.8.2,TestSchemaBuilder.testRecursiveRecord,8,0,0,0,0,11,266,0,0,0,34,156,16,33,1176,174,9,841
306,avro-release-1.8.2,TestSpecificLogicalTypes.testRecordWriteLogicalTypesReadPrimitives,1,0,0,0,1,9,212,0,0,0,28,119,10,40,997,150,9,961
307,avro-release-1.8.2,TestStopwatch.testNormal,2,0,0,0,0,10,81,0,0,0,31,46,7,11,304,60,8,229
308,avro-release-1.8.2,TestJsonDecoder.testFloat,0,0,0,0,1,1,9,0,0,0,3,8,5,4,45,6,6,70
309,avro-release-1.8.2,TestSchema.testRecord,3,0,0,0,1,19,186,0,0,0,58,118,9,19,854,141,9,1377
310,avro-release-1.8.2,TestProtocolParsing.oneWay,2,0,0,0,1,5,47,0,0,0,16,33,7,8,203,37,9,256
311,avro-release-1.8.2,TestSpecificData.testPrimitiveWrapperParamError,0,0,0,0,1,1,13,0,0,0,3,13,7,8,82,9,8,155
312,avro-release-1.8.2,TestIOBuffers.testFixed64,1,0,0,2,1,6,100,0,0,0,27,58,8,20,402,76,11,348
313,avro-release-1.8.2,TestAvroOutputFormat.testDeflateCodecUsingHadoopClass,2,0,0,0,1,7,73,0,0,2,22,45,7,15,296,56,8,453
314,avro-release-1.8.2,TestSpecificErrorBuilder.attemptToSetNonNullableFieldToNull,0,0,0,0,0,1,13,0,0,0,3,18,9,10,112,8,6,147
315,avro-release-1.8.2,TestReflectLogicalTypes.testReadUUIDList,1,0,0,0,1,11,211,0,0,0,34,122,17,50,955,146,10,802
316,avro-release-1.8.2,TestIOBuffers.testSkipInt,1,0,0,0,1,7,76,0,0,0,22,47,8,21,320,60,8,314
317,avro-release-1.8.2,TestFsInput.testTell,1,0,0,0,1,4,42,1,0,0,13,26,7,13,166,31,7,205
318,avro-release-1.8.2,TestKeyValueWordCount.testKeyValueMapReduce,13,0,0,0,4,32,439,0,0,0,97,243,10,67,2219,328,9,1990
319,avro-release-1.8.2,TestProtocolSpecific.testParamVariation,1,0,1,0,1,8,238,0,0,0,50,140,10,41,1190,182,11,879
320,avro-release-1.8.2,TestGenericData.testEnumCompare,3,0,0,0,0,6,89,0,0,0,19,56,8,15,391,68,8,298
321,avro-release-1.8.2,TestReflectLogicalTypes.testWriteUUIDList,1,0,0,0,1,13,282,0,0,0,40,161,17,51,1301,190,10,1064
322,avro-release-1.8.2,TestTimeConversions.testLossyTimeMicrosConversion,6,0,0,0,1,10,224,0,0,0,31,130,14,19,992,152,8,1123
323,avro-release-1.8.2,TestBinaryMessageEncoding.testSchemaEvolution,1,1,0,2,1,15,331,0,0,0,62,175,10,45,1507,236,13,1186
324,avro-release-1.8.2,TestShredder.testSimpleMap,0,0,0,0,1,3,67,0,0,0,10,43,8,16,308,50,8,301
325,avro-release-1.8.2,TestShredder.testNamedRecord,0,0,0,0,1,2,67,0,0,0,7,44,7,13,306,49,8,385
326,avro-release-1.8.2,TestReflect.testAvroAlias,0,0,0,0,0,3,29,0,0,0,10,18,7,6,113,22,6,493
327,avro-release-1.8.2,TestNamespaceSpecific.testEcho,2,0,0,0,1,5,89,0,0,0,16,49,8,12,467,60,8,258
328,avro-release-1.8.2,TestSpecificCompiler.testInvalidParameterCounts,0,0,0,0,1,6,63,0,0,0,19,42,8,12,281,53,10,465
329,avro-release-1.8.2,TestSequenceFileReader.testNonAvroReducer,0,0,0,0,1,12,140,0,0,0,37,81,9,34,601,103,8,603
330,avro-release-1.8.2,TestStopwatch.testSystemStopwatch,1,0,0,0,0,4,36,0,0,0,13,23,7,9,141,28,8,137
331,avro-release-1.8.2,SimpleCases.testOutput,1,0,0,0,1,3,49,0,0,0,10,27,9,16,220,38,9,179
332,avro-release-1.8.2,TestSaslDigestMd5.testAnonymousClient,1,0,0,0,1,10,138,0,0,0,31,80,9,36,634,104,8,612
333,avro-release-1.8.2,TestNettyServer.testOneway,0,0,0,1,1,3,39,0,0,0,14,23,8,10,146,27,9,170
334,avro-release-1.8.2,TestSpecificCompiler.testAnnotations,6,0,0,0,1,6,96,0,0,0,19,58,9,12,434,73,6,470
335,avro-release-1.8.2,TestReflect.testFloat,0,0,0,0,0,2,20,0,0,0,7,14,7,5,80,15,6,89
336,avro-release-1.8.2,TestKeyValueInput.testKeyValueInput,19,0,0,0,3,45,595,0,0,0,136,335,11,77,3366,460,9,2494
337,avro-release-1.8.2,TestSpecificCompilerTool.testCompileSchemasUsingString,0,0,0,0,1,3,55,0,0,0,10,34,9,14,255,37,6,389
338,avro-release-1.8.2,TestSpecificData.testPrimitiveParamError,0,0,0,0,1,1,13,0,0,0,3,13,7,8,82,9,8,151
339,avro-release-1.8.2,TestSequenceFileReader.testSequenceFileInputFormat,0,0,0,0,1,10,136,0,0,0,31,77,10,32,634,103,8,572
340,avro-release-1.8.2,TestReflect.testUnionWithEnum,1,0,0,0,0,3,44,0,0,0,10,29,9,14,195,35,8,277
341,avro-release-1.8.2,TestBinaryDecoder.testEOFString,0,0,0,0,1,1,15,0,0,0,3,14,7,8,86,10,6,126
342,avro-release-1.8.2,TestReflect.testChar,0,0,0,0,0,2,20,0,0,0,7,14,7,5,80,15,6,192
343,avro-release-1.8.2,TestProtocolReflect.testAdd,1,0,0,0,1,2,21,0,0,0,7,14,6,7,90,15,7,91
344,avro-release-1.8.2,TestIOBuffers.testFixed32,1,0,0,2,1,6,100,0,0,0,27,58,8,20,402,76,11,346
345,avro-release-1.8.2,TestGenericDatumWriter.writeDoesNotAllowJavaEnumForGenericEnum,0,0,0,0,1,8,102,0,0,0,25,63,8,27,495,85,9,658
346,avro-release-1.8.2,TestSchema.testNamespaceScope,2,0,0,0,1,7,101,0,0,0,22,63,8,15,442,77,8,525
347,avro-release-1.8.2,TestGenericData.testToStringDoesNotEscapeForwardSlash,1,0,0,0,1,2,23,0,0,0,7,16,6,8,97,17,8,146
348,avro-release-1.8.2,TestGenericData.testToStringNanInfinity,6,0,0,0,1,7,95,0,0,0,22,63,7,13,385,69,8,466
349,avro-release-1.8.2,TestResolvingGrammarGenerator2.testUnionResolutionNoStructureMatch,0,0,0,0,1,2,53,0,0,0,7,37,10,19,259,36,9,314
350,avro-release-1.8.2,TestEncoders.testBadDirectBinaryEncoderInit,0,0,0,0,0,1,11,0,0,0,3,11,6,6,63,7,6,125
351,avro-release-1.8.2,TestReflect.testInt,0,0,0,0,0,2,20,0,0,0,7,14,7,5,80,15,6,87
352,avro-release-1.8.2,TestPair.testCollectionFailure,2,0,1,0,1,2,44,0,0,0,17,22,10,11,205,31,9,225
353,avro-release-1.8.2,TestSchema.testImmutability2,0,0,0,0,0,2,21,0,0,0,7,17,7,9,108,17,8,123
354,avro-release-1.8.2,TestSchema.testImmutability1,0,0,0,0,0,3,27,0,0,0,10,20,6,8,120,20,8,134
355,avro-release-1.8.2,TestSpecificBuilderTree.lastOneWins_Builder,7,0,0,0,0,13,251,0,0,0,40,142,11,41,998,160,9,1079
356,avro-release-1.8.2,TestSchema.testSchemaWithNullFields,0,0,0,0,0,1,17,0,0,0,3,14,6,6,90,10,6,131
357,avro-release-1.8.2,TestAvroSerialization.testClassPath,1,0,0,0,1,7,85,0,0,0,22,51,10,23,395,71,8,432
358,avro-release-1.8.2,TestHistogram.testBasicOperation,14,2,0,5,0,28,514,0,0,0,116,272,10,46,2489,383,19,1623
359,avro-release-1.8.2,TestAvroKeyInputFormat.testCreateRecordReader,3,0,0,0,2,14,138,0,2,0,43,83,8,36,656,114,10,768
360,avro-release-1.8.2,TestDataFileMeta.testUseMetaAfterCreate,0,0,0,0,1,3,51,0,0,0,10,31,9,15,250,39,9,258
361,avro-release-1.8.2,TestIOBuffers.testDouble,1,0,0,2,1,4,81,0,0,0,21,49,8,17,344,63,10,277
362,avro-release-1.8.2,TestSchema.testDouble,2,0,0,0,1,6,86,0,0,0,19,56,7,15,336,60,6,415
363,avro-release-1.8.2,TestShredder.testArrayInUnion,0,0,0,0,1,4,113,0,0,0,13,72,9,18,532,84,8,534
364,avro-release-1.8.2,TestDataFileMeta.testUseMeta,2,0,0,0,1,8,121,0,0,0,25,65,9,28,535,93,9,453
365,avro-release-1.8.2,TestGenericData.validateRequiresGenericSymbolForEnumSchema,4,0,0,0,0,6,110,0,0,0,19,66,9,16,472,78,8,549
366,avro-release-1.8.2,TestSpecificRequestor.testToString,1,0,1,0,1,1,27,0,0,0,9,14,9,9,125,19,7,121
367,avro-release-1.8.2,TestSpecificCompiler.testPublicFieldVisibility,5,0,0,1,1,11,135,0,0,0,41,84,8,28,581,103,13,646
368,avro-release-1.8.2,TestGenericLogicalTypes.testWriteNullableUUID,1,0,0,0,1,11,174,0,0,0,34,109,9,38,788,135,9,729
369,avro-release-1.8.2,TestSchema.testLockedArrayList10,0,0,0,0,0,1,11,0,0,0,3,11,6,6,61,7,6,106
370,avro-release-1.8.2,TestGenericDatumWriter.writeDoesNotAllowStringForGenericEnum,0,0,0,0,1,8,100,0,0,0,25,61,8,25,484,83,9,651
371,avro-release-1.8.2,TestSpecificDatumReader.testStringables,1,0,0,0,1,15,174,0,0,0,46,95,8,32,823,147,11,993
372,avro-release-1.8.2,TestBinaryMessageEncoding.testByteBufferBadVersionByte,0,0,0,0,1,5,77,0,0,0,16,47,8,21,363,62,12,376
373,avro-release-1.8.2,TestGenericData.testRecordCreateEmptySchema,0,0,0,0,1,2,29,0,0,0,7,23,8,11,166,24,6,203
374,avro-release-1.8.2,TestEncoders.testJsonExcessFields,0,0,0,0,1,5,72,0,0,0,16,46,9,20,360,59,9,808
375,avro-release-1.8.2,TestLogicalType.testFixedDecimalToFromJson,1,0,0,0,0,4,63,0,0,0,13,38,9,14,262,45,8,284
376,avro-release-1.8.2,TestAvroKeyRecordWriter.testWrite,6,0,0,0,1,21,251,0,1,0,64,139,8,45,1201,202,9,1148
377,avro-release-1.8.2,TestReflectLogicalTypes.testReadUUIDArray,1,0,0,0,1,10,186,0,0,0,31,107,17,46,869,132,13,711
378,avro-release-1.8.2,TestSpecificCompiler.testSettersCreatedByDefault,3,1,0,1,1,10,120,0,0,0,42,70,9,24,510,92,15,531
379,avro-release-1.8.2,TestReflectLogicalTypes.testReadUUIDMissingLogicalTypeUnsafe,1,1,1,0,1,2,197,0,0,0,48,113,14,46,1126,148,14,894
380,avro-release-1.8.2,TestGenericData.testEquals2,2,0,0,0,0,14,200,0,0,2,43,119,9,27,950,157,9,677
381,avro-release-1.8.2,TestProtocolSpecific.testHello,1,0,0,0,1,2,19,0,0,0,7,14,6,8,86,15,8,112
382,avro-release-1.8.2,TestRpcPluginOrdering.testRpcPluginOrdering,0,0,0,0,1,8,85,0,0,0,25,49,8,19,385,72,8,438
383,avro-release-1.8.2,TestCanonical.testCanonicalization,1,0,0,0,1,1,19,0,0,0,3,14,7,10,84,12,6,138
384,avro-release-1.8.2,TestSpecificErrorBuilder.testSpecificErrorBuilder,18,0,0,0,0,25,313,0,0,0,76,173,10,29,1321,206,9,1435
385,avro-release-1.8.2,TestSpecificData.testNonStringable,1,0,1,0,1,5,84,0,0,0,23,43,9,23,401,71,11,472
386,avro-release-1.8.2,TestSpecificCompiler.testSettersNotCreatedWhenOptionTurnedOff,3,0,0,1,1,9,113,0,0,0,35,70,8,24,488,87,13,530
387,avro-release-1.8.2,TestCompare.testInt,0,0,0,0,1,2,37,0,0,0,7,23,7,5,154,26,6,132
388,avro-release-1.8.2,TestSpecificCompiler.testPrimitiveSchemaGeneratesNothing,1,0,0,0,0,1,26,0,0,0,3,16,9,8,111,16,6,135
389,avro-release-1.8.2,TestAvroDatumConverterFactory.testConvertByteWritable,1,0,0,0,0,2,45,0,0,0,7,26,10,11,210,34,9,206
390,avro-release-1.8.2,TestReflect.testString,0,0,0,0,0,1,9,0,0,0,3,7,5,3,37,6,6,55
391,avro-release-1.8.2,TestDataFileRepairTool.testRepairAfterCorruptBlock,2,0,0,0,1,4,62,0,0,0,13,37,8,13,240,41,8,375
392,avro-release-1.8.2,TestGenericData.testArrayRemove,13,0,3,1,0,19,294,0,0,0,83,158,9,24,1260,215,13,979
393,avro-release-1.8.2,TestAvroValueDeserializer.testDeserialize,4,0,0,0,1,20,229,0,0,0,61,131,8,41,1061,180,10,1115
394,avro-release-1.8.2,TestGenericData.testArrayConstructorNullSchema,0,0,0,0,1,1,15,0,0,0,3,14,8,8,102,12,9,138
395,avro-release-1.8.2,TestProtocolParsing.testMessageCustomProperties,3,0,0,0,1,6,63,0,0,0,19,39,7,18,260,50,9,309
396,avro-release-1.8.2,TestEvolvedSchema.testAvroEvolvedRead,2,0,0,0,1,13,136,0,0,0,40,73,8,30,631,115,9,638
397,avro-release-1.8.2,TestSchema.testNestedNullNamespaceReferencing,1,0,0,0,0,4,78,0,0,0,13,45,8,13,321,53,8,341
